id,status,title,authors,year,date,venue,paper_type,direction,technical_route,llm_role,architecture_target,simulator_toolchain,evaluation_metrics,category,recent_half_year_arxiv,pdf_path,official_url,oa_url,doi_arxiv_id,notes
lpo_2026,main,LPO: Discovering Missed Peephole Optimizations with Large Language Models,Zhenyang Xu; Hongxu Xu; Yongqiang Tian; Xintong Zhou; Chengnian Sun,2026,2026-03-24,ASPLOS 2026,top conference paper,compiler optimization discovery with LLMs,Cross-layer/HPC optimization,LLM discovers missed peephole optimizations,compiler optimization; systems/compiler layer adjacent to architecture,not available from public program page,not available from public program page,04_LLM_for_Performance_Analysis_and_Optimization,no,AI_for_Arch_LLM_Literature\04_LLM_for_Performance_Analysis_and_Optimization\2026_ASPLOS_2026_Xu_LPO_Discovering_Missed_Peephole_Optimizations_wi.pdf,https://www.asplos-conference.org/asplos2026/program/index.html,https://arxiv.org/abs/2508.16125,arXiv:2508.16125,"Included as ASPLOS top-venue LLM-for-systems optimization, but not core computer architecture."
optimas_2026,main,Optimas: An Intelligent Analytics-Informed Generative AI Framework for Performance Optimization,Mohammad Zaeed; Tanzima Z. Islam; Vladimir Indic,2026,2026-04,arXiv,recent preprint,LLM agents for GPU/HPC performance optimization,Cross-layer/HPC optimization,Multi-agent workflow maps performance diagnostics to literature-backed code transformations and validates execution,NVIDIA GPU code/performance optimization,profilers/reports; code generation; execution validation,"3,410 experiments; 100% correct code; improves performance in 98.82% experiments; 8.02%-79.09% average gains",06_LLM_for_HPC_System_Codesign,yes,AI_for_Arch_LLM_Literature\06_LLM_for_HPC_System_Codesign\2026_arXiv_Zaeed_Optimas_An_Intelligent_Analytics_Informed_Genera.pdf,https://arxiv.org/abs/2604.23892,https://arxiv.org/abs/2604.23892,arXiv:2604.23892,Recent LLM-agent HPC/GPU performance optimizer; architecture-adjacent rather than classic Arch venue.
swizzleperf_2025,main,SwizzlePerf: Hardware-aware LLMs for GPU Kernel Performance Optimization,Arya Tschand; Muhammad Awad; Ryan Swann; Kesavan Ramakrishnan; Jeffrey Ma; Keith Lowery; Ganesh Dasika; Vijay Janapa Reddi,2025,2025-08,arXiv,preprint,hardware-aware LLMs for GPU kernel performance,Cross-layer/HPC optimization,LLM assists hardware-aware kernel performance optimization,GPU kernels and hardware-aware code transformation,not resolved in this pass,not resolved in this pass,06_LLM_for_HPC_System_Codesign,no,AI_for_Arch_LLM_Literature\06_LLM_for_HPC_System_Codesign\2025_arXiv_Tschand_SwizzlePerf_Hardware_aware_LLMs_for_GPU_Kernel_P.pdf,https://arxiv.org/abs/2508.20258,https://arxiv.org/abs/2508.20258,arXiv:2508.20258,Mentioned in QuArch references; include as architecture-adjacent GPU performance work.
hardware_llm_scoping_2025,main,"Hardware Design and Verification with Large Language Models: A Scoping Review, Challenges, and Open Issues",Meisam Abdollahi; Seyedeh Faegheh Yeganli; Mohammad (Amir) Baharloo; Amirali Baniasadi,2025,2024-12-30,Electronics,survey,survey of LLMs for hardware design and verification,Survey/vision,"Reviews LLM use across specification, RTL, verification, chip architecture design, and EDA workflows",chip architecture; RTL; verification; physical design,survey,taxonomy and open issues,90_Surveys_Position_and_Vision,no,,https://www.mdpi.com/2079-9292/14/1/120,https://www.mdpi.com/2079-9292/14/1/120/pdf,DOI:10.3390/electronics14010120,"Broad EDA/hardware survey; useful for taxonomy, not core Arch venue."
ai4eda_workshop_report_2024,main,Report for NSF Workshop on AI for Electronic Design Automation,Deming Chen; Vijay Ganesh; Weikai Li; Yizhou Sun,2024,2024-12,NSF Workshop Report,report,AI/LLM for EDA roadmap,Survey/vision,"Discusses LLMs, GNNs, RL and AI methods for HLS/LLS, optimization, physical synthesis, test and verification",EDA and hardware design flows,workshop report,recommendations and research agenda,90_Surveys_Position_and_Vision,no,,https://ai4eda-workshop.github.io/,,,Not strictly LLM-only; included as context for EDA/HLS technical route.
chipnemo_2023,borderline,ChipNeMo: Domain-Adapted LLMs for Chip Design,NVIDIA research team,2023,2023-11,arXiv,preprint,domain-adapted LLMs for chip design,Hardware design/spec optimization; RAG/assistant,Domain-adapted LLM assistant for chip-design tasks,chip design workflows; EDA assistance,chip-design corpora; domain adaptation; retrieval,domain task quality metrics; details in paper,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2023_arXiv_team_ChipNeMo_Domain_Adapted_LLMs_for_Chip_Design.pdf,https://arxiv.org/abs/2311.00176,https://arxiv.org/abs/2311.00176,arXiv:2311.00176,"Important chip-design LLM paper, but broader EDA rather than computer architecture."
verigen_2024,borderline,Verigen: A Large Language Model for Verilog Code Generation,Shailja Thakur; Baleegh Ahmad; Hammond Pearce; Benjamin Tan; Brendan Dolan-Gavitt; Ramesh Karri; Siddharth Garg,2024,2024,ACM Transactions on Design Automation of Electronic Systems,journal article,LLM for Verilog generation,Hardware design/spec optimization,Fine-tuned LLM generates Verilog code,RTL code generation,Verilog evaluation/testbench flow,Verilog generation correctness metrics,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2024_ACM_Transactions_on_Thakur_Verigen_A_Large_Language_Model_for_Verilog_Code.pdf,https://doi.org/10.1145/3643681,https://arxiv.org/abs/2308.00708,arXiv:2308.00708; DOI:10.1145/3643681,Pure RTL-generation baseline; included as borderline due EDA extension.
rtllm_2024,borderline,RTLLM: An Open-Source Benchmark for Design RTL Generation with Large Language Model,Yao Lu; Shang Liu; Qijun Zhang; Zhiyao Xie,2024,2024-01,ASP-DAC 2024,conference paper,benchmark for LLM RTL generation,Benchmark/dataset; hardware design/spec optimization,Evaluates LLMs for RTL design generation,RTL generation,RTL design benchmark and validation flow,RTL generation benchmark pass/fail metrics,99_Candidates_Borderline,no,,https://doi.org/10.1109/ASP-DAC58780.2024.10473904,,DOI:10.1109/ASP-DAC58780.2024.10473904,Strong EDA benchmark; not architecture-specific but useful as foundation.
rtlcoder_2023,borderline,RTLCoder: Outperforming GPT-3.5 in Design RTL Generation with Our Open-Source Dataset and Lightweight Solution,Shang Liu; Wenji Fang; Yao Lu; Qijun Zhang; Hongce Zhang; Zhiyao Xie,2023,2023-12,arXiv,preprint,LLM for RTL generation,Hardware design/spec optimization,Lightweight model/dataset for RTL design generation,RTL generation,RTL generation dataset/evaluation,outperforms GPT-3.5 on RTL generation tasks,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2023_arXiv_Liu_RTLCoder_Outperforming_GPT_3_5_in_Design_RTL_Gen.pdf,https://arxiv.org/abs/2312.08617,https://arxiv.org/abs/2312.08617,arXiv:2312.08617,Pure RTL-generation; included as candidate.
spec_llm_2024,borderline,SpecLLM: Exploring Generation and Review of VLSI Design Specification with Large Language Model,Mingjie Li; Wenji Fang; Qijun Zhang; Zhiyao Xie,2024,2024-01,arXiv,preprint,LLM for VLSI specification generation/review,Hardware design/spec optimization,LLM generates and reviews VLSI design specifications,VLSI/SoC design specification,specification evaluation flow,spec generation/review quality,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2024_arXiv_Li_SpecLLM_Exploring_Generation_and_Review_of_VLSI.pdf,https://arxiv.org/abs/2401.13266,https://arxiv.org/abs/2401.13266,arXiv:2401.13266,Specification-level rather than architecture evaluation; include as borderline.
from_english_to_asic_2024,borderline,From English to ASIC: Hardware Implementation with Large Language Model,E. Goh; M. Xiang; I. Wey; T. H. Teo,2024,2024-03,arXiv,preprint,natural-language to ASIC/RTL design,Hardware design/spec optimization,LLM maps English design intent toward hardware implementation,ASIC/RTL implementation,RTL/ASIC tool flow,implementation correctness/quality,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2024_arXiv_Goh_From_English_to_ASIC_Hardware_Implementation_wit.pdf,https://arxiv.org/abs/2403.07039,https://arxiv.org/abs/2403.07039,arXiv:2403.07039,Natural-language hardware implementation; kept as EDA candidate.
advanced_verilog_ppa_2023,borderline,"Advanced Language Model-Driven Verilog Development: Enhancing Power, Performance, and Area Optimization in Code Synthesis",Keshav Thorat; Jason Zhao; Yucheng Liu; Hengyue Peng; Xuechao Xie; Bolei Lei; Zhiru Zhang; Chao Ding,2023,2023-12,arXiv,preprint,LLM-driven Verilog PPA optimization,Hardware design/spec optimization,LLM assists Verilog code synthesis with PPA objectives,RTL/PPA,Verilog synthesis/evaluation flow,PPA optimization metrics,99_Candidates_Borderline,no,AI_for_Arch_LLM_Literature\99_Candidates_Borderline\2023_arXiv_Thorat_Advanced_Language_Model_Driven_Verilog_Developme.pdf,https://arxiv.org/abs/2312.01022,https://arxiv.org/abs/2312.01022,arXiv:2312.01022,"PPA angle makes it somewhat architecture-relevant, but still mostly RTL/EDA."
